path,text,line_1,line_2,manual,source
"posts/DTfj0TMDFqf-1.jpg","take ur time, you're growing.","take ur time,","you're growing.","yes","visual-sheet"
"posts/DTfj0TMDFqf-2.jpg","remember bro: you're doing great.","remember bro:","you're doing great.","yes","visual-sheet"
"posts/DTfj0TMDFqf-3.jpg","stay kind bro, it's ur magic.","stay kind bro,","it's ur magic.","yes","visual-sheet"
"posts/DTfj0TMDFqf-4.jpg","watch the sunset again homie.","watch the sunset","again homie.","yes","visual-sheet"
"posts/DTfj0TMDFqf-5.jpg","stay brave bro, even in the dark.","stay brave bro,","even in the dark.","yes","visual-sheet"
"posts/DTGV-4ijqiY.jpg","brutal stubborn relentless refusal to give up","brutal stubborn relentless refusal","to give up","yes","visual-sheet"
"posts/DTh6hU9DCOM-5.jpg","remember, ur the pilot.","remember,","ur the pilot.","yes","visual-sheet"
"posts/DTK_aULDG2V.jpg","spread love homie, hate's lame fr.","spread love homie,","hate's lame fr.","yes","visual-sheet"
"posts/DTnP1myDBAB.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/DTOf0I7jHuh.jpg","keep smiling, life's a gift.","keep smiling,","life's a gift.","yes","visual-sheet"
"posts/DTS6YrZDJRQ.jpg","i can't contol it so i shouldn't worry","i can't contol","it so i shouldn't worry","yes","visual-sheet"
"posts/DTsc5Q-jIrs.jpg","stay goofy twin, it's iconic.","stay goofy twin,","it's iconic.","yes","visual-sheet"
"posts/DTupb15DdFY.jpg","everything will work out just fine.","everything will work out","just fine.","yes","visual-sheet"
"posts/DTX9EoZDHMC.jpg","I'm weird but I'm real tho.","I'm weird but","I'm real tho.","yes","visual-sheet"
"posts/DU-z3qrDDl_.jpg","buy someone important flowers bro.","buy someone important","flowers bro.","yes","visual-sheet"
"posts/DU0Wb-9jNSU.jpg","stay weird twin, it's iconic af.","stay weird twin,","it's iconic af.","yes","visual-sheet"
"posts/DU6yIjyDIC7-1.jpg","go out & explore again homie.","go out & explore","again homie.","yes","visual-sheet"
"posts/DU6yIjyDIC7-2.jpg","thug it out bro, it's gets better.","thug it out bro,","it's gets better.","yes","visual-sheet"
"posts/DU6yIjyDIC7-3.jpg","we stay loyal, forever twin.","we stay loyal,","forever twin.","yes","visual-sheet"
"posts/DU6yIjyDIC7-4.jpg","keep cheering, life's beautiful.","keep cheering,","life's beautiful.","yes","visual-sheet"
"posts/DU6yIjyDIC7.jpg","thug it out bro, it's gets better.","thug it out bro,","it's gets better.","yes","visual-sheet"
"posts/DU_497cjCb2.jpg","through thick& thin, i got you bro.","through thick& thin,","i got you bro.","yes","visual-sheet"
"posts/DUA3WbnDHIX.jpg","keep going, life gets better.","keep going,","life gets better.","yes","visual-sheet"
"posts/DUbOxbWjpd0.jpg","the world is, yours twin.","the world is,","yours twin.","yes","visual-sheet"
"posts/DUdlh-IDNs0.jpg","remember to: stay fire bro.","remember to:","stay fire bro.","yes","visual-sheet"
"posts/DUDxjP3jE9a.jpg","you got so much potential bro","you got so much","potential bro","yes","visual-sheet"
"posts/DUggrOXDt8Z.jpg","be strange, it's a flex","be strange,","it's a flex","yes","visual-sheet"
"posts/DUgLcyPDe0v.jpg","choose who, chooses you.","choose who,","chooses you.","yes","visual-sheet"
"posts/DUgly1VDNP7.jpg","be yourself","be","yourself","yes","visual-sheet"
"posts/DUGr82yDp6P.jpg","life update: we're so back.","life update:","we're so back.","yes","visual-sheet"
"posts/DUidLgEjFZO.jpg","smile twin, it's gangsta.","smile twin,","it's gangsta.","yes","visual-sheet"
"posts/DUIe84NDbvP.jpg","smile homie, life's awesome.","smile homie,","life's awesome.","yes","visual-sheet"
"posts/DULPXW8jfYy.jpg","stay goofy, it's goated twin.","stay goofy,","it's goated twin.","yes","visual-sheet"
"posts/DULrlKYjVbJ.jpg","stay weird, it's goated fr.","stay weird,","it's goated fr.","yes","visual-sheet"
"posts/DUNt-1njTF1.jpg","stay humble, stay grateful bro.","stay humble,","stay grateful bro.","yes","visual-sheet"
"posts/DUoyD4tDAYC.jpg","remember to love yourself.","remember to","love yourself.","yes","visual-sheet"
"posts/DUQ3S9Njfz2.jpg","u got so much, potential bro.","u got so much,","potential bro.","yes","visual-sheet"
"posts/DUQjFLUDALR.jpg","enjoy the small things twin.","enjoy the small","things twin.","yes","visual-sheet"
"posts/DUqrHdRjrh5.jpg","smile bro, u're still in it.","smile bro,","u're still in it.","yes","visual-sheet"
"posts/DUrJs1sjNt9.jpg","stay soft bro, life is hard.","stay soft bro,","life is hard.","yes","visual-sheet"
"posts/DUtMfOtjFtw.jpg","daily reminder: you're a hero.","daily reminder:","you're a hero.","yes","visual-sheet"
"posts/DUVOZZEDWHI.jpg","don't forget to, enjoy ur life twin.","don't forget to,","enjoy ur life twin.","yes","visual-sheet"
"posts/DUWfCD2DniH.jpg","I'm weird but i'm real tho.","I'm weird but","i'm real tho.","yes","visual-sheet"
"posts/DUYL39LDNez.jpg","stay grateful twin, life's giving.","stay grateful twin,","life's giving.","yes","visual-sheet"
"posts/DUYs6kpDtZC.jpg","heads up, brighter days come.","heads up,","brighter days come.","yes","visual-sheet"
"posts/DUzBQSmjCs9.jpg","spread love, hate's lame af.","spread love,","hate's lame af.","yes","visual-sheet"
"posts/DV-tVASDQ7N-1.jpg","smile today you made it.","smile today","you made it.","yes","visual-sheet"
"posts/DV-tVASDQ7N-2.jpg","life update: we're so back.","life update:","we're so back.","yes","visual-sheet"
"posts/DV-tVASDQ7N-3.jpg","heads up, brighter days comes","heads up,","brighter days comes","yes","visual-sheet"
"posts/DV-tVASDQ7N-4.jpg","remember bro ur the goated.","remember bro","ur the goated.","yes","visual-sheet"
"posts/DV-tVASDQ7N-5.jpg","remember twin, there's no excuse.","remember twin,","there's no excuse.","yes","visual-sheet"
"posts/DV-tVASDQ7N-6.jpg","mess up twin, but never stop.","mess up twin,","but never stop.","yes","visual-sheet"
"posts/DV0oPBMDHo9-1.jpg","without music, life would be a mistake.","without music, life would","be a mistake.","yes","visual-sheet"
"posts/DV0oPBMDHo9-2.jpg","I think music heals my soul.","I think music","heals my soul.","yes","visual-sheet"
"posts/DV0oPBMDHo9-3.jpg","I go nowhere without music.","I go nowhere","without music.","yes","visual-sheet"
"posts/DV0oPBMDHo9-4.jpg","stay weird & love music bro.","stay weird &","love music bro.","yes","visual-sheet"
"posts/DV0oPBMDHo9-5.jpg","what do you have left without music?","what do you have left","without music?","yes","visual-sheet"
"posts/DV6HPpHDDR7-1.jpg","remember to enjoy ur life.","remember to","enjoy ur life.","yes","visual-sheet"
"posts/DV6HPpHDDR7-2.jpg","u got so much potential bro.","u got so much","potential bro.","yes","visual-sheet"
"posts/DV6HPpHDDR7-3.jpg","enjoy the small things homie.","enjoy the small","things homie.","yes","visual-sheet"
"posts/DV6HPpHDDR7-4.jpg","daily reminder to stay fire bro.","daily reminder to","stay fire bro.","yes","visual-sheet"
"posts/DV6HPpHDDR7-5.jpg","be proud twin, you kept going","be proud twin,","you kept going","yes","visual-sheet"
"posts/DV6zEA-DtQR-1.jpg","not a friend, but a brother.","not a friend,","but a brother.","yes","visual-sheet"
"posts/DV6zEA-DtQR-2.jpg","smell the flowers, again homie.","smell the flowers,","again homie.","yes","visual-sheet"
"posts/DV6zEA-DtQR-3.jpg","stay weird, it's gangsta.","stay weird,","it's gangsta.","yes","visual-sheet"
"posts/DV6zEA-DtQR-4.jpg","remember to, love yourself.","remember to,","love yourself.","yes","visual-sheet"
"posts/DV6zEA-DtQR-5.jpg","be yourself, it's goated.","be yourself,","it's goated.","yes","visual-sheet"
"posts/DV6zEA-DtQR-6.jpg","be proud bro, you kept going.","be proud bro,","you kept going.","yes","visual-sheet"
"posts/DV9mG43jNR1-1.jpg","no time for fake people.","no time for","fake people.","yes","visual-sheet"
"posts/DV9mG43jNR1-2.jpg","watch the sunset again homie.","watch the sunset","again homie.","yes","visual-sheet"
"posts/DV9mG43jNR1-3.jpg","you're iconic twin, remember that.","you're iconic twin,","remember that.","yes","visual-sheet"
"posts/DV9mG43jNR1-5.jpg","haters hate bro, love yourself.","haters hate bro,","love yourself.","yes","visual-sheet"
"posts/DVb7vqkDsz8.jpg","i'm weird but i'm real tho.","i'm weird but","i'm real tho.","yes","visual-sheet"
"posts/DVB9qpYjuRV.jpg","fists up & fear down bro.","fists up &","fear down bro.","yes","visual-sheet"
"posts/DVE1VQzgEXs.jpg","if you see something beautiful in someone, tell them.","if you see something beautiful in","someone, tell them.","yes","visual-sheet"
"posts/DVeBzacDJ8l.jpg","no one will know the violence it took to become this gentle.","no one will know","the violence it took to become this gentle.","yes","visual-sheet"
"posts/DVg5NJAjjVA.jpg","don't say it often, thank u dad.","don't say it often,","thank u dad.","yes","visual-sheet"
"posts/DVHCHcADo2i.jpg","you're someone's dream person btw.","you're someone's dream person","btw.","yes","visual-sheet"
"posts/DVizksLDGSq.jpg","unlearn the hate bro, it's lame af.","unlearn the hate bro,","it's lame af.","yes","visual-sheet"
"posts/DVli51cDPs7.jpg","quick reminder u are awesome","quick reminder","u are awesome","yes","visual-sheet"
"posts/DVLwhKEDHQA.jpg","you are here to understand yourself, no to be understood.","you are here to understand","yourself, no to be understood.","yes","visual-sheet"
"posts/DVMJkTbDTLs.jpg","f*ck 'em i got dreams to chase","f*ck 'em i got","dreams to chase","yes","visual-sheet"
"posts/DVQ-H0HDPAV.jpg","a negative mind will never give you a positive life.","a negative mind will never","give you a positive life.","yes","visual-sheet"
"posts/DVTM6uNjWcd.jpg","what's not meant for you will disappoint you a thousand times.","what's not meant for you will","disappoint you a thousand times.","yes","visual-sheet"
"posts/DVvZxc2jJRa-2.jpg","always remember: dream big friend.","always remember:","dream big friend.","yes","visual-sheet"
"posts/DVvZxc2jJRa-3.jpg","they hate anyway, just be yourself.","they hate anyway,","just be yourself.","yes","visual-sheet"
"posts/DVvZxc2jJRa-4.jpg","stay grateful bro, stay humble.","stay grateful bro,","stay humble.","yes","visual-sheet"
"posts/DVvZxc2jJRa-5.jpg","my girl weird but we're vibing tho.","my girl weird but","we're vibing tho.","yes","visual-sheet"
"posts/DVWneUhDlJk.jpg","don't change for nobody change for yourself.","don't change for nobody","change for yourself.","yes","visual-sheet"
"posts/DVyf30rDCcL-1.jpg","daily reminder: we're so back.","daily reminder:","we're so back.","yes","visual-sheet"
"posts/DVyf30rDCcL-2.jpg","go out & explore again homie.","go out & explore","again homie.","yes","visual-sheet"
"posts/DVyf30rDCcL-3.jpg","hold on bro, this passes too.","hold on bro,","this passes too.","yes","visual-sheet"
"posts/DVyf30rDCcL-4.jpg","smile twin, u woke up.","smile twin,","u woke up.","yes","visual-sheet"
"posts/DVyf30rDCcL-5.jpg","remember to stay fire bro.","remember to","stay fire bro.","yes","visual-sheet"
"posts/DVyf30rDCcL-6.jpg","hold your ground, stay kind.","hold your ground,","stay kind.","yes","visual-sheet"
"posts/DVzbFDfDOfu-1.jpg","stay humble, stay grateful bro.","stay humble,","stay grateful bro.","yes","visual-sheet"
"posts/DVzbFDfDOfu-2.jpg","enjoy life & explore nature.","enjoy life &","explore nature.","yes","visual-sheet"
"posts/DVzbFDfDOfu-3.jpg","we stay loyal forever homie.","we stay loyal","forever homie.","yes","visual-sheet"
"posts/DVzbFDfDOfu-5.jpg","spread love hate's lame af.","spread love","hate's lame af.","yes","visual-sheet"
"posts/DVZNf25jk5d.jpg","i love people who make me forget i'm shy.","i love people who make","me forget i'm shy.","yes","visual-sheet"
"posts/DW6aXGBjFar-1.jpg","keep swimming, it gets better.","keep swimming,","it gets better.","yes","visual-sheet"
"posts/DW6aXGBjFar-2.jpg","enjoy the small things twin.","enjoy the small","things twin.","yes","visual-sheet"
"posts/DW6aXGBjFar-3.jpg","keep riding & be yourself.","keep riding &","be yourself.","yes","visual-sheet"
"posts/DW6aXGBjFar-4.jpg","daily reminder: we're so back.","daily reminder:","we're so back.","yes","visual-sheet"
"posts/DW6aXGBjFar-5.jpg","remember to f* their opinion.","remember to","f* their opinion.","yes","visual-sheet"
"posts/DWBolz1jGfL-1.jpg","remember to: f* their opinion.","remember to:","f* their opinion.","yes","visual-sheet"
"posts/DWBolz1jGfL-2.jpg","not a friend, but an inspiration.","not a friend,","but an inspiration.","yes","visual-sheet"
"posts/DWBolz1jGfL-3.jpg","keep swimming, it gets better.","keep swimming,","it gets better.","yes","visual-sheet"
"posts/DWBolz1jGfL-4.jpg","enjoy ur life homie, it's ur only one.","enjoy ur life homie,","it's ur only one.","yes","visual-sheet"
"posts/DWBolz1jGfL-5.jpg","always remember dream big friend.","always remember","dream big friend.","yes","visual-sheet"
"posts/DWbzAkmjHNC-1.jpg","keep showing up, it matters.","keep showing up,","it matters.","yes","visual-sheet"
"posts/DWbzAkmjHNC-2.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/DWbzAkmjHNC-3.jpg","stay weird, it's magic.","stay weird,","it's magic.","yes","visual-sheet"
"posts/DWbzAkmjHNC-4.jpg","go outside & enjoy life.","go outside &","enjoy life.","yes","visual-sheet"
"posts/DWeKK6zjMR1-1.jpg","life's a gift enjoy the ride.","life's a gift","enjoy the ride.","yes","visual-sheet"
"posts/DWeKK6zjMR1-2.jpg","ignore the noise & enjoy life twin.","ignore the noise &","enjoy life twin.","yes","visual-sheet"
"posts/DWeKK6zjMR1-3.jpg","stay loyal bro, it's true fr.","stay loyal bro,","it's true fr.","yes","visual-sheet"
"posts/DWeKK6zjMR1-4.jpg","love yourself & your homies tho.","love yourself &","your homies tho.","yes","visual-sheet"
"posts/DWfGkXlDHou-2.jpg","173,000 people didn't wake up today.","173,000 people didn't","wake up today.","yes","visual-sheet"
"posts/DWfGkXlDHou-3.jpg","80 million people can't walk.","80 million people","can't walk.","yes","visual-sheet"
"posts/DWfGkXlDHou-4.jpg","300 million people can't see colors.","300 million people","can't see colors.","yes","visual-sheet"
"posts/DWggM7PDT5j-1.jpg","keep going, life gets better.","keep going,","life gets better.","yes","visual-sheet"
"posts/DWggM7PDT5j-2.jpg","daily reminder to stay fire bro.","daily reminder to","stay fire bro.","yes","visual-sheet"
"posts/DWggM7PDT5j-3.jpg","stay goofy, it's goated twin.","stay goofy,","it's goated twin.","yes","visual-sheet"
"posts/DWggM7PDT5j-4.jpg","keep showing up, it matters.","keep showing up,","it matters.","yes","visual-sheet"
"posts/DWggM7PDT5j-5.jpg","smile today, it counts.","smile today,","it counts.","yes","visual-sheet"
"posts/DWhP6IkjoNZ-1.jpg","choose love, cause hate's lame af.","choose love, cause","hate's lame af.","yes","visual-sheet"
"posts/DWhP6IkjoNZ-2.jpg","keep going bro, it gets better.","keep going bro,","it gets better.","yes","visual-sheet"
"posts/DWhP6IkjoNZ-3.jpg","smile more often, life's awesome.","smile more often,","life's awesome.","yes","visual-sheet"
"posts/DWhP6IkjoNZ-4.jpg","go outside bro, nature is beautiful.","go outside bro,","nature is beautiful.","yes","visual-sheet"
"posts/DWlvCTzDEOP-1.jpg","go out & explore again homie.","go out & explore","again homie.","yes","visual-sheet"
"posts/DWlvCTzDEOP-4.jpg","trust the pace, not the noise.","trust the pace,","not the noise.","yes","visual-sheet"
"posts/DWlvCTzDEOP-5.jpg","keep going, you're still here.","keep going,","you're still here.","yes","visual-sheet"
"posts/DWM3FUvDvnF-1.jpg","trust yourself, you adapted.","trust yourself,","you adapted.","yes","visual-sheet"
"posts/DWM3FUvDvnF-2.jpg","stay gentle, life's heavy.","stay gentle,","life's heavy.","yes","visual-sheet"
"posts/DWM3FUvDvnF-3.jpg","heads up twin, it gets better.","heads up twin,","it gets better.","yes","visual-sheet"
"posts/DWM3FUvDvnF-4.jpg","keep riding, you're doing great.","keep riding,","you're doing great.","yes","visual-sheet"
"posts/DWM3FUvDvnF-5.jpg","smile & love yourself twin.","smile & love","yourself twin.","yes","visual-sheet"
"posts/DWM3FUvDvnF-6.jpg","smell the flowers again bro.","smell the flowers","again bro.","yes","visual-sheet"
"posts/DWMKQowDHQs-1.jpg","create the things you wish existed.","create the things","you wish existed.","yes","visual-sheet"
"posts/DWMKQowDHQs-2.jpg","you've consumed enough. it's time to create.","you've consumed enough. it's time","to create.","yes","visual-sheet"
"posts/DWMKQowDHQs-4.jpg","we're going to succeed bc we're crazy.","we're going to succeed bc","we're crazy.","yes","visual-sheet"
"posts/DWO4Pg3jOgU-2.jpg","mistakes are meant to guide you, not to define you.","mistakes are meant to","guide you, not to define you.","yes","visual-sheet"
"posts/DWO4Pg3jOgU.jpg","remember to, enjoy ur life.","remember to,","enjoy ur life.","yes","visual-sheet"
"posts/DWoa8wWDJUv-1.jpg","remember to enjoy ur life.","remember to","enjoy ur life.","yes","visual-sheet"
"posts/DWoa8wWDJUv-3.jpg","daily reminder: you're goated.","daily reminder:","you're goated.","yes","visual-sheet"
"posts/DWoa8wWDJUv-4.jpg","hold on bro, this passes too.","hold on bro,","this passes too.","yes","visual-sheet"
"posts/DWOmNnRjCwI-1.jpg","You can be kind AND get paper.","You can be kind","AND get paper.","yes","visual-sheet"
"posts/DWOmNnRjCwI-2.jpg","God knows how hard I try","God knows","how hard I try","yes","visual-sheet"
"posts/DWOmNnRjCwI-5.jpg","I also ghost my family, so don't take it personally.","I also ghost my family,","so don't take it personally.","yes","visual-sheet"
"posts/DWOoXCujLsm-1.jpg","daily reminder: you're awesome bro.","daily reminder:","you're awesome bro.","yes","visual-sheet"
"posts/DWOoXCujLsm-2.jpg","remember to f* their opinion.","remember to","f* their opinion.","yes","visual-sheet"
"posts/DWOoXCujLsm-3.jpg","heads up, better days hit.","heads up,","better days hit.","yes","visual-sheet"
"posts/DWOoXCujLsm-4.jpg","you really are a better me.","you really are","a better me.","yes","visual-sheet"
"posts/DWOoXCujLsm-5.jpg","stay real, stay true twin.","stay real,","stay true twin.","yes","visual-sheet"
"posts/DWOoXCujLsm-6.jpg","love louder, hate quiet.","love louder,","hate quiet.","yes","visual-sheet"
"posts/DWR5r-hDmT5-2.jpg","smile twin you're alive.","smile twin","you're alive.","yes","visual-sheet"
"posts/DWR5r-hDmT5-3.jpg","get urself a camera it's worth it.","get urself a camera","it's worth it.","yes","visual-sheet"
"posts/DWR5r-hDmT5-4.jpg","enjoy even small things twin.","enjoy even small","things twin.","yes","visual-sheet"
"posts/DWR5r-hDmT5-5.jpg","remember to enjoy ur life.","remember to","enjoy ur life.","yes","visual-sheet"
"posts/DWR5r-hDmT5-6.jpg","go outside, clear your mind.","go outside,","clear your mind.","yes","visual-sheet"
"posts/DWR5r-hDmT5.jpg","thanks for being my bro fr.","thanks for being","my bro fr.","yes","visual-sheet"
"posts/DWtSBzIjTi3-1.jpg","daily remainder: you're awesome bro.","daily remainder:","you're awesome bro.","yes","visual-sheet"
"posts/DWtSBzIjTi3-2.jpg","get urself a camera it's worth it.","get urself a camera","it's worth it.","yes","visual-sheet"
"posts/DWtSBzIjTi3-3.jpg","remember to f* their opinion.","remember to","f* their opinion.","yes","visual-sheet"
"posts/DWtSBzIjTi3-4.jpg","stay real, stay true twin.","stay real,","stay true twin.","yes","visual-sheet"
"posts/DWtSBzIjTi3-5.jpg","stay goofy, it's goated twin.","stay goofy,","it's goated twin.","yes","visual-sheet"
"posts/DWubJOjDmdJ-1.jpg","remember to: keep going bro.","remember to:","keep going bro.","yes","visual-sheet"
"posts/DWubJOjDmdJ-2.jpg","smile twin, you woke up.","smile twin,","you woke up.","yes","visual-sheet"
"posts/DWubJOjDmdJ-3.jpg","be weird, it suits you.","be weird,","it suits you.","yes","visual-sheet"
"posts/DWubJOjDmdJ-4.jpg","gng's a bit weird, but cool fr.","gng's a bit weird,","but cool fr.","yes","visual-sheet"
"posts/DWubJOjDmdJ-5.jpg","haters hate bro, love your self.","haters hate bro,","love your self.","yes","visual-sheet"
"posts/DWv13cJAI_B-3.jpg","smell the flowers again homie.","smell the flowers","again homie.","yes","visual-sheet"
"posts/DWv13cJAI_B-5.jpg","enjoy the small things twin.","enjoy the small","things twin.","yes","visual-sheet"
"posts/DWzSfdbDgEa-1.jpg","stay weird it's gangsta.","stay weird","it's gangsta.","yes","visual-sheet"
"posts/DWzSfdbDgEa-2.jpg","we stay loyal forever twin.","we stay loyal","forever twin.","yes","visual-sheet"
"posts/DWzSfdbDgEa-3.jpg","smile a little, it helps.","smile a little,","it helps.","yes","visual-sheet"
"posts/DWzSfdbDgEa-4.jpg","keep documenting bro, life's beautiful.","keep documenting bro,","life's beautiful.","yes","visual-sheet"
"posts/DWzSfdbDgEa-5.jpg","be strange it's a flex.","be strange","it's a flex.","yes","visual-sheet"
"posts/DXAeGamDaR7-2.jpg","remember to f* their opinion.","remember to","f* their opinion.","yes","visual-sheet"
"posts/DXAeGamDaR7-3.jpg","keep going bro you're doing great","keep going bro","you're doing great","yes","visual-sheet"
"posts/DXAeGamDaR7-4.jpg","not a friend, but a brother.","not a friend,","but a brother.","yes","visual-sheet"
"posts/DXAeGamDaR7-5.jpg","remember to enjoy ur life.","remember to","enjoy ur life.","yes","visual-sheet"
"posts/DXAeGamDaR7-6.jpg","keep documenting bro, life's beautiful","keep documenting bro,","life's beautiful","yes","visual-sheet"
"posts/DXCL4dODGIV-1.jpg","remember to love yourself.","remember to","love yourself.","yes","visual-sheet"
"posts/DXCL4dODGIV-2.jpg","soft days, strong heart.","soft days,","strong heart.","yes","visual-sheet"
"posts/DXCL4dODGIV-3.jpg","go outside & enjoy life.","go outside &","enjoy life.","yes","visual-sheet"
"posts/DXCL4dODGIV-4.jpg","love softly, love true.","love softly,","love true.","yes","visual-sheet"
"posts/DXCL4dODGIV-5.jpg","stay calm, you're learning.","stay calm,","you're learning.","yes","visual-sheet"
"posts/DXCy-9bDgP0-1.jpg","ignore the noise & keep going bro.","ignore the noise &","keep going bro.","yes","visual-sheet"
"posts/DXCy-9bDgP0-2.jpg","keep going, life gets better.","keep going,","life gets better.","yes","visual-sheet"
"posts/DXCy-9bDgP0-3.jpg","smile twin, you woke up.","smile twin,","you woke up.","yes","visual-sheet"
"posts/DXCy-9bDgP0-4.jpg","remember to love yourself.","remember to","love yourself.","yes","visual-sheet"
"posts/DXCy-9bDgP0-5.jpg","go outside & enjoy life.","go outside &","enjoy life.","yes","visual-sheet"
"posts/DXCy-9bDgP0-6.jpg","stay gentle, stay real twin.","stay gentle,","stay real twin.","yes","visual-sheet"
"posts/DXCy-9bDgP0-7.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/DXCy-9bDgP0-8.jpg","stay weird, it's magic.","stay weird,","it's magic.","yes","visual-sheet"
"posts/DXHbBIZjPBZ-1.jpg","keep moving, stay steady.","keep moving,","stay steady.","yes","visual-sheet"
"posts/DXHbBIZjPBZ-2.jpg","love quietly, love real.","love quietly,","love real.","yes","visual-sheet"
"posts/DXHbBIZjPBZ-5.jpg","smell the flowers again homie.","smell the flowers","again homie.","yes","visual-sheet"
"posts/poster_20260610184627_001.jpg","quick reminder: you're still moving forward","quick reminder:","you're still moving forward","yes","visual-sheet"
"posts/poster_20260610184804_002.jpg","quick reminder: you matter, even like that","quick reminder:","you matter, even like that","yes","visual-sheet"
"posts/poster_20260610184838_003.jpg","quick reminder: you're enough — even napping","quick reminder:","you're enough — even napping","yes","visual-sheet"
"posts/poster_20260610184943_004.jpg","tiny backpack, you look ridiculous and iconic","tiny backpack,","you look ridiculous and iconic","yes","visual-sheet"
"posts/poster_20260610184943_004.png","tiny backpack, you look ridiculous and iconic","tiny backpack,","you look ridiculous and iconic","yes","visual-sheet"
"posts/poster_20260610185103_005.jpg","remember, even party-hatted swans take breaks","remember,","even party-hatted swans take breaks","yes","visual-sheet"
"posts/poster_20260610185103_005.png","remember, even party-hatted swans take breaks","remember,","even party-hatted swans take breaks","yes","visual-sheet"
"posts/poster_20260610190329_001.png","smile twin, you're campsite royalty","smile twin,","you're campsite royalty","yes","visual-sheet"
"posts/poster_20260610190443_002.png","look at you, big heart energy","look at you,","big heart energy","yes","visual-sheet"
"posts/poster_20260610191911_001.jpg","keep moving, it adds up.","keep moving,","it adds up.","yes","visual-sheet"
"posts/poster_20260610191911_001.png","keep moving, it adds up.","keep moving,","it adds up.","yes","visual-sheet"
"posts/poster_20260610193020_001.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/poster_20260610193020_001.png","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/poster_20260610193135_001.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/poster_20260610193135_001.png","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/poster_20260610193349_003.jpg","smile today, it helps.","smile today,","it helps.","yes","visual-sheet"
"posts/poster_20260610193349_003.png","smile today, it helps.","smile today,","it helps.","yes","visual-sheet"
"posts/poster_20260610193508_004.jpg","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
"posts/poster_20260610193508_004.png","smile twin, you're alive.","smile twin,","you're alive.","yes","visual-sheet"
